model,n,mae_ms,median_abs_error_ms,median_rel_error,p90_rel_error,rel_err_lt_10pct
PINN,40,0.0019364855305817955,0.0011739028509501863,0.019692864863641253,0.06356964445540422,1.0
FNO,40,1.2645450829146767,1.2425984398779129,14.035690154328433,19.25867795504355,0.0
MeshGraphNet,40,2.2545450829146767,2.0897408912951074,24.107062431747966,39.776021470178065,0.0
Transformer,40,0.025022482914676885,0.02573499268842036,0.2916862513582243,0.3169704066414182,0.0
