model,n_cases,tt_median_rel_error,tt_rel_err_lt_10pct,latency_median_ms,latency_p90_ms,n_latency_samples
PINN,40,0.019692864863641253,1.0,2.638459001900628,6.16662499087397,19
FNO,40,14.035690154328433,0.0,2.4401670088991523,3.15397480444517,19
MeshGraphNet,40,24.107062431747966,0.0,1.5114580019144341,1.8172170006437227,19
Transformer,40,0.2916862513582243,0.0,1.305540994508192,1.8339249974815175,19
